shop_name_1,product_name_1,brand_1,shop_name_2,product_name_2,brand_2,verdict
ACE Market,ABC Sweet Soy Sauce Kecap Manis 275ml,ABC,Tjin's Toko,"ABC ABC Ketjap Manis, 275ml",ABC,SAME
ACE Market,ABC Sweet Soy Sauce Kecap Manis 275ml,ABC,Toko Gembira,ABC Kecap Manis Zoet 275ml,ABC,SAME
ACE Market,ABC Sweet Soy Sauce Large 600ml,ABC,Dun Yong,Kecap Asin Special Salty Soy Sauce (ABC) 600ml,ABC,DIFFERENT
ACE Market,ABC Sweet Soy Sauce Large 600ml,ABC,Toko Gembira,ABC Kecap Manis 600ml,ABC,DIFFERENT
ACE Market,KIKKOMAN Less Salt Soy Sauce Large 975ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Soy Sauce Less Salt, 975ml",KIKKOMAN,SAME
ACE Market,KIKKOMAN Less Salt Soy Sauce Large 975ml,KIKKOMAN,Toko Asia,KIKKOMAN LESS SALT SOY SAUCE 975 ML,KIKKOMAN,SAME
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Dun Yong,Sweet Soy Sauce for Rice (Kikkoman) 250ml,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Shilla Market,Kikkoman Sweet Soy Sauce 250ml,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Shilla Market,Kikkoman Tamari Shoyu Soy Sauce Gluten-Free 250ml,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Soy Sauce, 250ml",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Soy Sauce Less Salt, 250ml",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Tamari Soy Sauce, 250ml",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Ponzu Citrus Soy Sauce, 250ml",KIKKOMAN,SAME
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Sushi &amp; Sashimi Soy Sauce, 250ml",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Toko Asia,KIKKOMAN SOY SAUCE 250 ML,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Toko Asia,KIKKOMAN TAMARI SOY SAUCE 250 ML,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Toko Asia,KIKKOMAN PONZU LEMON SOY SAUCE 250 ML,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Ponzu Soy Sauce 250ml,KIKKOMAN,Toko Gembira,Kikkoman Soja saus 250ml less salt,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Shilla Market,Kikkoman Gen'en Shoyu Reduced Salt Soy Sauce 150ml,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Shilla Market,Kikkoman Koikuchi Shoyu Soy Sauce Table Dispenser 150ml,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Less Salt Schenkfles, 150ml",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Soy Sauce Pour Bottle, 150ml",KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Tamari Soy Sauce, 150ml",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Toko Asia,KIKKOMAN SOY SAUCE TAFELFLES 150 ML,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Toko Asia,KIKKOMAN LESS SALT SOY SAUCE 150 ML,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Toko Asia,KIKKOMAN GLUTEN FREE SOJASAUS TAMARI 150ML,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Toko Asia,KIKKOMAN BIO SOJASAUCE 150 ML,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Toko Gembira,Soy Sauce 150ml less salt Kikkoman,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Dispenser 150ml,KIKKOMAN,Toko Gembira,Tamari Gluten Free Soy Sauce 150ml - Kikkoman,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Japanese 500ml,KIKKOMAN,Dun Yong,Naturally Brewed Soy Sauce (Kikkoman) 500ml,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce Japanese 500ml,KIKKOMAN,Shilla Market,Kikkoman Koikuchi Shoyu Soy Sauce 500ml,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce Japanese 500ml,KIKKOMAN,Shilla Market,Kikkoman Tokusen Yuki Organic Soy Sauce 500ml,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce Japanese 500ml,KIKKOMAN,Toko Asia,KIKKOMAN SOY SAUCE 500 ML,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce Japanese 500ml,KIKKOMAN,Toko Gembira,Kikkoman Sojasaus 500 ml,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Dun Yong,Usukuchi Shoyu Light Soy Sauce  (Kikkoman) 1L,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Dun Yong,Naturally Brewed Less Salt Soy Sauce (Kikkoman) 1L,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Dun Yong,Shouyu Naturally Brewed Soy Sauce (Kikkoman) 1L,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Shilla Market,Kikkoman Koikuchi Shoyu Soy Sauce 1L,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Shilla Market,Kikkoman Tokusen Marudaizu Shoyu Soy Sauce 1L,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Ponzu Soy Sauce, 1L",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Tamari, 1L",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Soy Sauce, 1L",KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Tokusen Marudaizu Shoyu, 1L",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Toko Asia,KIKKOMAN SOY SAUCE 1 LITER,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Toko Asia,KIKKOMAN SOY SAUCE GLUTEN FREE TAMARI 1LITER,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Toko Gembira,Kikkoman sojasaus 1 L,KIKKOMAN,SAME
ACE Market,KIKKOMAN Soy Sauce NL 1L,KIKKOMAN,Toko Gembira,Kikkoman Soja Saus 1 liter less salt,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Tamari Gluten-Free Soy Sauce 1L,KIKKOMAN,Dun Yong,Shouyu Naturally Brewed Soy Sauce (Kikkoman) 1L,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Tamari Gluten-Free Soy Sauce 1L,KIKKOMAN,Dun Yong,Naturally Brewed Less Salt Soy Sauce (Kikkoman) 1L,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Tamari Gluten-Free Soy Sauce 1L,KIKKOMAN,Dun Yong,Usukuchi Shoyu Light Soy Sauce  (Kikkoman) 1L,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Tamari Gluten-Free Soy Sauce 1L,KIKKOMAN,Shilla Market,Kikkoman Koikuchi Shoyu Soy Sauce 1L,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Tamari Gluten-Free Soy Sauce 1L,KIKKOMAN,Shilla Market,Kikkoman Tokusen Marudaizu Shoyu Soy Sauce 1L,KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Tamari Gluten-Free Soy Sauce 1L,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Soy Sauce, 1L",KIKKOMAN,DIFFERENT
ACE Market,KIKKOMAN Tamari Gluten-Free Soy Sauce 1L,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Tokusen Marudaizu Shoyu, 1L",KIKKOMAN,DIFFERENT
