shop_name_1,product_name_1,brand_1,shop_name_2,product_name_2,brand_2,verdict
ACE Market,ABC Sweet Soy Sauce Large 600ml,ABC,Dun Yong,Kecap Manis Special Sweet Soy Sauce (ABC) 600ml,ABC,UNCERTAIN
ACE Market,ABC Sweet Soy Sauce Large 600ml,ABC,Tjin's Toko,"ABC ABC Kecap Manis, 600ml",ABC,UNCERTAIN
ACE Market,KIKKOMAN Tamari Gluten-Free Soy Sauce 1L,KIKKOMAN,Tjin's Toko,"Kikkoman Kikkoman Tamari, 1L",KIKKOMAN,UNCERTAIN
ACE Market,MEE CHUN Soy Sauce 500ml,MEE CHUN,Toko Asia,MEE CHUN BEST SOY SAUCE 500 ML,MEE CHUN,UNCERTAIN
ACE Market,PEARL RIVER BRIDGE Light Soy Sauce Large 500ml,PEARL RIVER BRIDGE,Dun Yong,Superior Light Soy Sauce (Pearl River Bridge) 500ml,PEARL RIVER BRIDGE,UNCERTAIN
Dun Yong,Kecap Manis Special Sweet Soy Sauce (ABC) 600ml,ABC,Tjin's Toko,"ABC ABC Kecap Manis, 600ml",ABC,UNCERTAIN
Dun Yong,Kecap Manis Special Sweet Soy Sauce (ABC) 600ml,ABC,Toko Gembira,ABC Kecap Manis 600ml,ABC,UNCERTAIN
Dun Yong,Naturally Brewed Less Salt Soy Sauce (Kikkoman) 1L,KIKKOMAN,Toko Asia,KIKKOMAN SOY SAUCE 1 LITER,KIKKOMAN,UNCERTAIN
Dun Yong,Naturally Brewed Soy Sauce (Yamasa) 150ml,YAMASA,Tjin's Toko,"Yamasa Yamasa Soy Sauce, 150ml",YAMASA,UNCERTAIN
Dun Yong,Soy Sauce with Mushroom (Healthy Boy) 700ml,HEALTHY BOY,Toko Asia,HB BLACK SOY SAUCE 700 ML,HEALTHY BOY,UNCERTAIN
Dun Yong,Soy Sauce with Mushroom (Healthy Boy) 700ml,HEALTHY BOY,Toko Asia,HEALTHY BOY THIN SOY SAUCE 700ML,HEALTHY BOY,UNCERTAIN
Dun Yong,Superior Dark Soy Sauce (Pearl River Bridge) 150ml,PEARL RIVER BRIDGE,Tjin's Toko,"Pearl River Bridge Pearl River Bridge Dark Soy Sauce, 150ml",PEARL RIVER BRIDGE,UNCERTAIN
Dun Yong,Superior Dark Soy Sauce (Pearl River Bridge) 500ml,PEARL RIVER BRIDGE,Tjin's Toko,"Pearl River Bridge Pearl River Bridge Dark Soy Sauce, 500ml",PEARL RIVER BRIDGE,UNCERTAIN
Dun Yong,Superior Dark Soy Sauce (Pearl River Bridge) 500ml,PEARL RIVER BRIDGE,Toko Gembira,Dark Soy Sauce 500ml - Pearl River Bridge,PEARL RIVER BRIDGE,UNCERTAIN
Dun Yong,Superior Light Soy Sauce (Pearl River Bridge) 150ml,PEARL RIVER BRIDGE,Tjin's Toko,"Pearl River Bridge Pearl River Bridge Light Soy Sauce, 150ml",PEARL RIVER BRIDGE,UNCERTAIN
Dun Yong,Superior Light Soy Sauce (Pearl River Bridge) 150ml,PEARL RIVER BRIDGE,Toko Gembira,Light Soy Sauce 150 ml Pearl River Bridge,PEARL RIVER BRIDGE,UNCERTAIN
Dun Yong,Superior Light Soy Sauce (Pearl River Bridge) 500ml,PEARL RIVER BRIDGE,Tjin's Toko,"Pearl River Bridge Pearl River Bridge Light Soy Sauce, 500ml",PEARL RIVER BRIDGE,UNCERTAIN
Dun Yong,Thin Soy Sauce (Healthy Boy) 700ml,HEALTHY BOY,Toko Asia,HB BLACK SOY SAUCE 700 ML,HEALTHY BOY,UNCERTAIN
Shilla Market,Kikkoman Gen'en Shoyu Reduced Salt Soy Sauce 150ml,KIKKOMAN,Toko Gembira,Soy Sauce 150ml less salt Kikkoman,KIKKOMAN,UNCERTAIN
Tjin's Toko,"ABC ABC Kecap Manis, 600ml",ABC,Toko Gembira,ABC Kecap Manis 600ml,ABC,UNCERTAIN
Tjin's Toko,"ABC ABC Ketjap Manis, 275ml",ABC,Toko Gembira,ABC Kecap Manis Zoet 275ml,ABC,UNCERTAIN
Tjin's Toko,"Dek Som Boon Dek Som Boon Thin Soy Sauce, 700ml",DEK SOM BOON,Toko Gembira,Thin Soy Sauce 700ml Dek Som Boon,DEK SOM BOON,UNCERTAIN
Tjin's Toko,"Kikkoman Kikkoman Ponzu Soy Sauce, 1L",KIKKOMAN,Toko Gembira,Kikkoman sojasaus 1 L,KIKKOMAN,UNCERTAIN
Tjin's Toko,"Mee Chun Mee Chun Best Soy Sauce, 250ml",MEE CHUN,Toko Gembira,Soy Sauce 250ml Mee Chun,MEE CHUN,UNCERTAIN
Tjin's Toko,"Pearl River Bridge Pearl River Bridge Dark Soy Sauce, 150ml",PEARL RIVER BRIDGE,Toko Gembira,mushroom dark soy sauce 150ml pearl river bridge,PEARL RIVER BRIDGE,UNCERTAIN
Tjin's Toko,"Pearl River Bridge Pearl River Bridge Dark Soy Sauce, 500ml",PEARL RIVER BRIDGE,Toko Gembira,Dark Soy Sauce 500ml - Pearl River Bridge,PEARL RIVER BRIDGE,UNCERTAIN
Tjin's Toko,"Pearl River Bridge Pearl River Bridge Light Soy Sauce, 150ml",PEARL RIVER BRIDGE,Toko Gembira,Light Soy Sauce 150 ml Pearl River Bridge,PEARL RIVER BRIDGE,UNCERTAIN
Tjin's Toko,"Pearl River Bridge Pearl River Bridge Mushroom Soy Sauce, 150ml",PEARL RIVER BRIDGE,Toko Gembira,mushroom dark soy sauce 150ml pearl river bridge,PEARL RIVER BRIDGE,UNCERTAIN
Toko Asia,MEE CHUN BEST SOY SAUCE 250 ML,MEE CHUN,Toko Gembira,outlet: Sojasaus Mee Chun 250 ml Yellow Label - blik THT 29 mei 2026,MEE CHUN,UNCERTAIN
